Date,Open,High,Low,Close,Volume,Open Interest
30/07/2014,453.45,455,442.5,451.95,6205500,8547000
31/07/2014,451.3,454.55,444.25,446.5,5642000,4570000
01/08/2014,447.25,457.35,440.65,442.4,6365000,14654000
04/08/2014,445.15,451.25,443.55,449.85,3820000,15125000
05/08/2014,452.3,459.95,446.8,458.6,4845000,14770000
06/08/2014,455.9,456.45,447,448.65,4570000,15257000
07/08/2014,449.5,451.9,442.5,444.8,3980000,15410000
08/08/2014,439.85,440,432.8,435.75,4117500,17327000
11/08/2014,439.9,451,439,449.45,7782000,20023000
12/08/2014,483,489,470.55,476.35,16362500,20692000
13/08/2014,480.5,481.3,467.9,475.05,6649000,19637000
